task_id,case_id,difficulty,category,added_item,grounded_in_baseline,criticality,is_actionable,already_present_in_acon,baseline_evidence,audit_augmented_excerpt
b119b1f_2,b119b1f_2_cap8,hard,action_outcome,ACTION_OUTCOME step 22 showed song_id=240 by Liam Palmer,True,medium,True,False,step 22: print(apis.spotify.show_current_song(...)) returns song details,- ACTION_OUTCOME step 22 showed song_id=240 by Liam Palmer  // confirmed next song details
b119b1f_2,b119b1f_2_cap8,hard,environment_state,ENVIRONMENT_STATE liked_songs=empty,True,low,True,False,step 15: print(apis.spotify.show_liked_songs()) returns error,- ENVIRONMENT_STATE liked_songs=empty  // no liked songs shown
b119b1f_2,b119b1f_2_cap8,hard,pending_task,PENDING_SUBTASK still need to like songs from artist_id=34,True,medium,True,False,"step 11: search_songs for ""Lily Moon"" returns song_id=311",- PENDING_SUBTASK still need to like songs from artist_id=34  // from search results
37a8675_1,37a8675_1_cap8,hard,environment_state,"ENVIRONMENT_STATE liked_songs={1,2,3}",True,low,True,True,"ENVIRONMENT_STATE liked_songs={1,2,3}  // from baseline step 3 output","ENVIRONMENT_STATE liked_songs={1,2,3}  // from baseline step 3 output"
37a8675_1,37a8675_1_cap8,hard,environment_state,ENVIRONMENT_STATE deleted_files=[/notes/work.txt],True,low,True,True,ENVIRONMENT_STATE deleted_files=[/notes/work.txt]  // from baseline step 3 output,ENVIRONMENT_STATE deleted_files=[/notes/work.txt]  // from baseline step 3 output
37a8675_1,37a8675_1_cap8,hard,negative_evidence,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end,True,low,True,True,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end  // from baseline step 5 output,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end  // from baseline step 5 output
37a8675_1,37a8675_1_cap8,hard,action_outcome,ACTION_OUTCOME step 9 failed: 401,True,low,True,True,ACTION_OUTCOME step 9 failed: 401  // from baseline step 9 output,ACTION_OUTCOME step 9 failed: 401  // from baseline step 9 output
4ec8de5_3,4ec8de5_3_cap15,hard,auth,"AUTH_CREDENTIAL spotify_username=""ch.brow@gmail.com""",True,medium,True,True,baseline trajectory shows this email from supervisor profile,"AUTH_CREDENTIAL spotify_username=""ch.brow@gmail.com"" baseline trajectory shows this email from supervisor profile"
4ec8de5_3,4ec8de5_3_cap15,hard,auth,"AUTH_CREDENTIAL spotify_password=""qMQyD0J""",True,medium,True,True,baseline trajectory shows this password from supervisor account passwords,"AUTH_CREDENTIAL spotify_password=""qMQyD0J"" baseline trajectory shows this password from supervisor account passwords"
4ec8de5_3,4ec8de5_3_cap15,hard,api_schema,API_SCHEMA apis.spotify.show_song(song_id=16),True,medium,True,True,baseline trajectory includes this specific API call with song_id=16,API_SCHEMA apis.spotify.show_song(song_id=16) baseline trajectory includes this specific API call with song_id=16
4ec8de5_3,4ec8de5_3_cap15,hard,api_schema,"API_SCHEMA apis.spotify.show_song_library(access_token=..., page_index=0, page_limit=20)",True,medium,True,True,baseline trajectory includes this specific API call with parameters,"API_SCHEMA apis.spotify.show_song_library(access_token=..., page_index=0, page_limit=20) baseline trajectory includes this specific API call with parameters"
4ec8de5_3,4ec8de5_3_cap15,hard,action_outcome,ACTION_OUTCOME step 7 succeeded with token=...,True,high,True,True,baseline trajectory shows successful login response,ACTION_OUTCOME step 7 succeeded with token=... baseline trajectory shows successful login response
4ec8de5_3,4ec8de5_3_cap15,hard,action_outcome,ACTION_OUTCOME step 9 failed: 401,True,low,True,True,baseline trajectory shows initial login failure before successful attempt,ACTION_OUTCOME step 9 failed: 401 baseline trajectory shows initial login failure before successful attempt
4ec8de5_3,4ec8de5_3_cap15,hard,environment_state,"ENVIRONMENT_STATE liked_songs={1,2,3}",True,low,True,True,baseline trajectory shows this set from step 9 output,"ENVIRONMENT_STATE liked_songs={1,2,3} baseline trajectory shows this set from step 9 output"
4ec8de5_3,4ec8de5_3_cap15,hard,environment_state,ENVIRONMENT_STATE deleted_files=[...],True,low,True,True,baseline trajectory shows this list from step 9 output,ENVIRONMENT_STATE deleted_files=[...] baseline trajectory shows this list from step 9 output
4ec8de5_3,4ec8de5_3_cap15,hard,negative_evidence,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end,True,low,True,True,baseline trajectory shows step 11 with 0 songs on page 1,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end baseline trajectory shows step 11 with 0 songs on page 1
4ec8de5_3,4ec8de5_3_cap15,hard,pending_task,PENDING_SUBTASK still need to like songs from artist_id=20,True,low,True,True,baseline trajectory shows this task from step 9 output,PENDING_SUBTASK still need to like songs from artist_id=20 baseline trajectory shows this task from step 9 output
6c2c621_3,6c2c621_3_cap15,hard,environment_state,"ENVIRONMENT_STATE liked_songs={1,2,3}",True,low,False,False,from baseline trajectory step 2,"ENVIRONMENT_STATE liked_songs={1,2,3}  // from baseline trajectory step 2"
6c2c621_3,6c2c621_3_cap15,hard,action_outcome,ACTION_OUTCOME step 13 failed: 401,True,high,True,False,from baseline trajectory step 13,ACTION_OUTCOME step 13 failed: 401  // file_system login failed
6c2c621_3,6c2c621_3_cap15,hard,pending_task,PENDING_SUBTASK still need to like songs from artist_id=20,True,low,False,False,from baseline trajectory step 2,PENDING_SUBTASK still need to like songs from artist_id=20  // from baseline trajectory step 2
6c2c621_3,6c2c621_3_cap15,hard,negative_evidence,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end,True,low,False,False,from baseline trajectory step 7,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end  // from baseline trajectory step 7
