model,prompt_family,init_type,condition_type,fact_type,coarse_group,half_life,half_life_censored,n_rounds,final_survival
minimax,general_task_aware,RAW_FULL,unneeded,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,0.6666666666666666
minimax,general_task_aware,RAW_FULL,unneeded,RUNTIME_VARIABLE,EXECUTABLE,2,False,6,0.46153846153846156
qwen,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,EXECUTABLE,7,True,6,0.5555555555555556
qwen,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,EXECUTABLE,1,False,6,0.2962962962962963
qwen,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,1,False,6,0.3
qwen,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,TASK_STATE,2,False,6,0.6666666666666666
qwen,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,TASK_STATE,7,True,6,1.0
qwen,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.6875
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,NARRATIVE,1,False,6,0.5
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,0.0
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,1,False,6,0.16666666666666666
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,2,False,6,0.5
qwen,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,EXECUTABLE,1,False,6,0.2692307692307692
qwen,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,2,False,6,0.5
qwen,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,7,True,6,0.9285714285714286
qwen,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,True,6,0.95
qwen,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,6,False,6,0.3333333333333333
qwen,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,7,True,6,1.0
qwen,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.9166666666666666
qwen,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,0.5
qwen,general_task_aware,DETAIL_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,7,True,6,0.6875
qwen,general_task_aware,DETAIL_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,0.8333333333333334
qwen,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,7,True,6,0.75
qwen,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,EXECUTABLE,6,False,6,0.5
qwen,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,7,True,6,0.9285714285714286
qwen,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,True,6,0.75
qwen,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,TASK_STATE,7,True,6,0.6666666666666666
qwen,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,TASK_STATE,7,True,6,1.0
qwen,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,1.0
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,0.5
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,7,True,6,0.875
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,0.8333333333333334
qwen,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,EXECUTABLE,7,True,6,0.875
qwen,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,3,False,6,0.75
qwen,general_task_aware,NARRATIVE_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,1,False,6,0.35714285714285715
qwen,general_task_aware,NARRATIVE_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,1,False,6,0.35
qwen,general_task_aware,NARRATIVE_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,2,False,6,0.6666666666666666
qwen,general_task_aware,NARRATIVE_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,7,True,6,1.0
qwen,general_task_aware,NARRATIVE_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.6666666666666666
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,0,False,6,0.0
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,1,False,6,0.1875
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,0.6666666666666666
qwen,general_task_aware,NARRATIVE_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,1,False,6,0.5
qwen,general_task_aware,RAW_FULL,needed,ACTION_OUTCOME,EXECUTABLE,7,True,6,0.5384615384615384
qwen,general_task_aware,RAW_FULL,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,2,False,6,0.4878048780487805
qwen,general_task_aware,RAW_FULL,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,2,False,6,0.48
qwen,general_task_aware,RAW_FULL,needed,COMPLETED_SUBTASK,TASK_STATE,3,False,6,0.5
qwen,general_task_aware,RAW_FULL,needed,ENVIRONMENT_STATE,TASK_STATE,1,False,6,0.0
qwen,general_task_aware,RAW_FULL,needed,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.6071428571428571
qwen,general_task_aware,RAW_FULL,needed,NARRATIVE_GOAL,NARRATIVE,1,False,6,0.5
qwen,general_task_aware,RAW_FULL,needed,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,0.0
qwen,general_task_aware,RAW_FULL,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,1,False,6,0.15
qwen,general_task_aware,RAW_FULL,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,0.6666666666666666
qwen,general_task_aware,RAW_FULL,needed,RUNTIME_VARIABLE,EXECUTABLE,7,True,6,0.5476190476190477
qwen,general_task_aware,RAW_FULL,unneeded,ACTION_OUTCOME,EXECUTABLE,7,True,6,0.6666666666666666
qwen,general_task_aware,RAW_FULL,unneeded,API_SCHEMA_OR_PARAMETER,EXECUTABLE,1,False,6,0.18518518518518517
qwen,general_task_aware,RAW_FULL,unneeded,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,1,False,6,0.26666666666666666
qwen,general_task_aware,RAW_FULL,unneeded,COMPLETED_SUBTASK,TASK_STATE,1,False,6,0.3333333333333333
qwen,general_task_aware,RAW_FULL,unneeded,ENVIRONMENT_STATE,TASK_STATE,1,False,6,0.0
qwen,general_task_aware,RAW_FULL,unneeded,EXACT_IDENTIFIER,EXECUTABLE,3,False,6,0.375
qwen,general_task_aware,RAW_FULL,unneeded,NARRATIVE_GOAL,NARRATIVE,1,False,6,0.5
qwen,general_task_aware,RAW_FULL,unneeded,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,0.0
qwen,general_task_aware,RAW_FULL,unneeded,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,1,False,6,0.041666666666666664
qwen,general_task_aware,RAW_FULL,unneeded,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,2,False,6,0.5
qwen,general_task_aware,RAW_FULL,unneeded,RUNTIME_VARIABLE,EXECUTABLE,1,False,6,0.38461538461538464
